,,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds
,,count,mean,std,min,25%,50%,75%,max
image,threads,,,,,,,,
1080.jpg,1,30.0,0.02181506666666667,0.002027378210693654,0.013716,0.020761500000000002,0.0221735,0.0230595,0.024424
1080.jpg,2,30.0,0.0100686,0.0005126866758422799,0.009381,0.00966525,0.0099945,0.01031725,0.011141
1080.jpg,4,30.0,0.004989633333333335,0.00019493314208994186,0.004682,0.00484475,0.004965,0.00513675,0.005397
1080.jpg,8,30.0,0.004697800000000001,0.00018079945071628497,0.004303,0.0045845,0.0047455,0.0048065,0.005062
1080.jpg,16,30.0,0.004125366666666666,0.0001851605982017685,0.003811,0.003983,0.0041329999999999995,0.004264,0.004513
4k.jpg,1,30.0,0.06472546666666666,0.0016973890849617027,0.061631,0.06325025000000001,0.065066,0.06621125,0.06696
4k.jpg,2,30.0,0.04742676666666667,0.000972179835901431,0.045465,0.046924,0.047721,0.048153749999999995,0.04861
4k.jpg,4,30.0,0.021556699999999995,0.0007767268258976031,0.02045,0.020938500000000002,0.021469,0.022031000000000002,0.022949
4k.jpg,8,30.0,0.017990366666666664,0.0017937496939004105,0.014012,0.01710275,0.0186725,0.01902575,0.020575
4k.jpg,16,30.0,0.0121842,0.0006154529814809521,0.011184,0.01182125,0.012035,0.012451750000000001,0.013532
720.jpg,1,30.0,0.010275633333333334,0.0007601605766539403,0.009233,0.009431499999999999,0.0103805,0.011047000000000001,0.011426
720.jpg,2,30.0,0.0054818666666666665,0.00033398252414876674,0.004828,0.0053135000000000005,0.005575,0.005654,0.005981
720.jpg,4,30.0,0.0027165000000000006,0.00022505704257763873,0.002395,0.002523,0.002687,0.0028795,0.003074
720.jpg,8,30.0,0.002668966666666667,0.0002335515129375151,0.00242,0.0024667499999999998,0.0025915,0.0029275,0.003039
720.jpg,16,30.0,0.0024033,0.000147357447186694,0.002122,0.0023025,0.0024045000000000004,0.0025044999999999998,0.002671
